likes,body,url
43,"Стартует финальный блок Большого Шлема!

Российская трансляция: https://silatv.ru/video/44283/
Международная трансляция и сетки: live.ijf.org
Также трансляция есть на телеканале ""Матч! Боец""",https://sun9-31.userapi.com/c855620/v855620056/12ab03/fimk1ADDzF0.jpg
54,"Начинается второй день Большого Шлема в Абу Даби!

Сегодня нас ждут поединки в категориях -73кг, -81кг, -63кг, -70кг.

Удобнее всего следить за турниром на live.ijf.org
Также сетки есть на ippon.org, а трансляция на ippon.tv",https://sun9-59.userapi.com/c855620/v855620056/12aae3/mUlUbIpEeOc.jpg
74,"Первый день Большого Шлема в Абу Даби завершен!

Золотые медали сегодня завоевали Дарья Белодед, Гусман Кыргызбаев, Майлинда Кельменди, Мануэль Ломбардо и Ким Чин-А.

Полные итоги на http://www.ippon.org/gs_uae2019.php",https://sun9-22.userapi.com/c856020/v856020718/134eca/d2l3EIKauRY.jpg
41,"В Абу Даби стартует финальный блок Большого Шлема!

Российская трансляция: https://silatv.ru/video/44282/
Международная и сетки: live.ijf.org
Также сетки есть на ippon.org, а трансляция на ippon.tv и телеканале ""Матч!Боец""",https://sun9-66.userapi.com/c856128/v856128294/1388cd/mSPThpRl5B4.jpg
36,"Утренняя часть Большого Шлема в Абу Даби завершилась полуфиналами в -52кг и -57кг. В -57 в финал пробились Сара Леони Сизик, выигравшая у Дианы Джигарос, и Ким Чин-А, а в -52 - Майлинда Кельменди и Одетт Джуффрида. 

Финальный блок начнется в 16:00 мск. Трансляция пройдет на https://silatv.ru/video/44282/ и live.ijf.org",https://sun9-71.userapi.com/c856128/v856128294/13888d/dxx9Bklxzc4.jpg
56,"В -60 в финал пробились Гусман Кыргызбаев и Валид Хъяр! Казах победил в полуфинале Яго Абуладзе, а француз остановил Диёрбека Урозбоева. В утешительных схватках Елдос Сметов прошел Роберта Мшвидобадзе, в то время как Фелипе Пелим выиграл у Ариунболда Энхтайвана.

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-72.userapi.com/c856128/v856128294/138840/Wi6tMk4rC18.jpg
69,"Дарья Белодед побеждает Сабину Гилязову и выходит в финал категории -48кг!

В -66 тем временем Орхан Сафаров выиграл у Орландо Поланко, а Мануэль Ломбардо чисто бросил Ан Ба-Ула за полминуты схватки, и теперь азербайджанец и итальянец будут бороться за золото!

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-19.userapi.com/c856028/v856028294/12bf67/xdzYKGMyjJE.jpg
50,"Яго Абуладзе прошел монгола Энхтайван и будет бороться в полуфинале с Гусманом Кыргызбаевым, выигравшим у бразильца Пелим. Второму казаху в этом весе - Елдосу Сметову - пройти в полуфинал не удалось: он проиграл Валиду Хъяр, который теперь будет бороться с Диёрбеком Урозбоевым, победившим Роберта Мшвидобадзе.

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-33.userapi.com/c856028/v856028294/12bf5e/npgGoBmTbIU.jpg
28,"В -66кг определились полуфиналисты: Орландо Поланко не остановился после победы над Маргвелашвили и прошел еще и Альберто Гайтеро - теперь кубинец встретится с Орханом Сафаровым, остановившим Ерлана Серикжанова. Ан Ба-Ул разобрался с Басхуу Йондонперенлеи и вышел на Мануэля Ломбардо, который тоже прошел монгола - Херлена Ганболд. 

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-16.userapi.com/c856028/v856028899/12e97d/Zadx45ovrH4.jpg
50,"В -60кг определились все четвертьфиналисты: Абуладзе встретится с Энхтайваном, выбивший Гарригоса Пелим - с Кыргызбаевым, Сметов - с Хъяром, а Мшвидобадзе - с Урозбоевым. 

В -48 уже известны полуфиналистки: нас ждут схватки Белодед-Гилязова и Мартинез - Станжар. Примечательно, что в четвертьфинале Сабина Гилязова выбила Мелани Клеман.

В -52 уверенно идет Анастасия Поликарпова - следом за монголкой Бишрелт она прошла еще и бельгийку ван Сник и кореянку Чон и теперь будет бороться в четвертьфинале с испанкой Лопез. В -57 тоже есть россиянка в 1/4: Диана Джигарос прошла ивуарийку Дабонн и панамку Ропер и теперь встретится с кореянкой Ри.",https://sun9-37.userapi.com/c855720/v855720899/135a13/Hpom0e5FFbU.jpg
92,"В -60 фаворит тоже отправляется на трибуны: Яго Абуладзе удержанием прошел Шарафуддина Лутфиллаева и вышел в четвертьфинал!

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-28.userapi.com/c853424/v853424954/138033/SKY3-T7bp-I.jpg
45,"Следом за Маргвелашвили в -66кг вылетает и Михаил Пуляев: Орхан Сафаров по шидо прошел россиянина и вышел в четвертьфинал к Ерлану Серикжанову. А с другой стороны таблицы Ан Ба-Ул победил Баруха Шмаилова и теперь будет бороться за выход в полуфинал с монголом Йондонперенлеи, который остановил Георгия Зантарая. 

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-67.userapi.com/c853424/v853424954/137ff3/7mhB5vSkJJA.jpg
30,"Первый громкий вылет в -66кг: Важа Маргвелашвили по шидо проиграл кубинцу Орландо Поланко, который до этого прошел Ким Лим-Хвана и Жоао Крисостомо. Кубинец вышел в четвертьфинал к Альберто Гайтеро, бросившим в дополнительное время Елдоса Жумаканова.

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-42.userapi.com/c858424/v858424954/bfacd/wCzWvrrpELU.jpg
